Name,alpha,delta,e_eps,model,pick_neighbor,test/acc,dataset,Unnamed: 0
9a44fa27-ea64-11ed-9aa9-54b20380cf4d,0.5,1.0,0.1,gcn,top,81.71344165435747,cora,
6b5a4646-ea64-11ed-9aa9-54b20380cf4d,0.5,0.1,8.0,gat,top,79.60118168389955,cora,
5fa8f470-ea64-11ed-9aa9-54b20380cf4d,0.25,0.5,inf,gcn,top,81.71344165435747,cora,
36af9dfb-ea64-11ed-9aa9-54b20380cf4d,1.0,1.0,8.0,gat,top,79.79320531757756,cora,
0fe833a8-ea64-11ed-9aa9-54b20380cf4d,0.5,0.5,1.0,sage,top,81.62481536189068,cora,
e9ea3ee9-ea63-11ed-9aa9-54b20380cf4d,0.0,1.0,2.0,sage,top,81.77252584933531,cora,
b4701604-ea63-11ed-9aa9-54b20380cf4d,0.25,0.1,0.1,gat,top,76.1890694239291,cora,
87e31d0c-ea63-11ed-9aa9-54b20380cf4d,1.0,0.0,1.0,gcn,top,81.10782865583457,cora,
7e7077a7-ea63-11ed-9aa9-54b20380cf4d,0.0,0.1,inf,sage,top,81.77252584933531,cora,
5579b1f1-ea63-11ed-9aa9-54b20380cf4d,1.0,0.25,8.0,gat,top,79.97045790251109,cora,
25486b70-ea63-11ed-9aa9-54b20380cf4d,0.5,0.0,0.1,gcn,top,76.82422451994091,cora,
f9ecb5be-ea62-11ed-9aa9-54b20380cf4d,0.25,0.25,1.0,gcn,top,81.06351550960119,cora,
c77abf20-ea62-11ed-9aa9-54b20380cf4d,0.0,0.25,2.0,gat,top,79.92614475627771,cora,
bd934598-ea62-11ed-9aa9-54b20380cf4d,0.25,1.0,inf,sage,top,81.77252584933531,cora,
952acf5b-ea62-11ed-9aa9-54b20380cf4d,0.25,1.0,1.0,gat,top,78.53766617429838,cora,
646b2cf7-ea62-11ed-9aa9-54b20380cf4d,0.25,0.1,8.0,gat,top,80.45790251107829,cora,
345e8b58-ea62-11ed-9aa9-54b20380cf4d,0.0,0.0,8.0,gcn,top,81.40324963072378,cora,
ff52ca1c-ea61-11ed-9aa9-54b20380cf4d,0.0,0.25,1.0,gat,top,79.70457902511079,cora,
d6dae552-ea61-11ed-9aa9-54b20380cf4d,0.5,0.25,1.0,sage,top,81.0192023633678,cora,
ab7c68f7-ea61-11ed-9aa9-54b20380cf4d,0.5,0.1,0.1,sage,top,78.43426883308716,cora,
818af4c2-ea61-11ed-9aa9-54b20380cf4d,1.0,0.1,8.0,gat,top,79.9261447562777,cora,
561a52fd-ea61-11ed-9aa9-54b20380cf4d,0.75,0.1,8.0,gat,top,80.78286558345641,cora,
2c8560ef-ea61-11ed-9aa9-54b20380cf4d,0.75,0.25,0.1,gcn,top,81.86115214180208,cora,
fc68d60c-ea60-11ed-9aa9-54b20380cf4d,0.75,0.0,2.0,gcn,top,81.07828655834564,cora,
d1aa41f0-ea60-11ed-9aa9-54b20380cf4d,0.0,0.5,8.0,gcn,top,81.69867060561299,cora,
a782e540-ea60-11ed-9aa9-54b20380cf4d,0.75,0.1,8.0,gcn,top,81.55096011816838,cora,
9b1e41cb-ea60-11ed-9aa9-54b20380cf4d,0.25,0.1,inf,gat,top,79.36484490398819,cora,
735d832c-ea60-11ed-9aa9-54b20380cf4d,0.5,1.0,2.0,gcn,top,81.71344165435747,cora,
434329ac-ea60-11ed-9aa9-54b20380cf4d,0.0,0.1,1.0,gcn,top,79.68980797636634,cora,
19be8d0f-ea60-11ed-9aa9-54b20380cf4d,0.0,0.5,0.1,gcn,top,81.63958641063516,cora,
e7dbb46e-ea5f-11ed-9aa9-54b20380cf4d,1.0,0.0,1.0,gat,top,78.8626292466765,cora,
c13e3599-ea5f-11ed-9aa9-54b20380cf4d,0.75,0.25,8.0,sage,top,82.09748892171345,cora,
b7415fd9-ea5f-11ed-9aa9-54b20380cf4d,0.0,1.0,inf,sage,top,81.77252584933531,cora,
8bc21bba-ea5f-11ed-9aa9-54b20380cf4d,0.75,0.1,1.0,gcn,top,80.8714918759232,cora,
65193838-ea5f-11ed-9aa9-54b20380cf4d,0.75,0.25,2.0,sage,top,81.80206794682422,cora,
3c066a80-ea5f-11ed-9aa9-54b20380cf4d,1.0,1.0,8.0,gcn,top,81.71344165435747,cora,
130473ea-ea5f-11ed-9aa9-54b20380cf4d,0.75,1.0,8.0,gat,top,79.35007385524372,cora,
ec7d5c71-ea5e-11ed-9aa9-54b20380cf4d,0.75,0.25,1.0,sage,top,81.69867060561299,cora,
c38e9071-ea5e-11ed-9aa9-54b20380cf4d,0.25,0.5,2.0,gcn,top,81.47710487444607,cora,
8d71fd9d-ea5e-11ed-9aa9-54b20380cf4d,0.75,0.0,0.1,gat,top,74.10635155096011,cora,
61909317-ea5e-11ed-9aa9-54b20380cf4d,0.5,0.5,2.0,gat,top,80.84194977843426,cora,
55c70414-ea5e-11ed-9aa9-54b20380cf4d,0.75,0.25,inf,gcn,top,81.71344165435747,cora,
2a4321a6-ea5e-11ed-9aa9-54b20380cf4d,0.0,0.5,8.0,gat,top,80.5317577548006,cora,
f41178e6-ea5d-11ed-9aa9-54b20380cf4d,0.5,0.1,0.1,gat,top,76.410635155096,cora,
be9a5312-ea5d-11ed-9aa9-54b20380cf4d,0.75,0.0,2.0,gat,top,78.71491875923189,cora,
97e0c57c-ea5d-11ed-9aa9-54b20380cf4d,0.75,0.5,2.0,sage,top,81.80206794682422,cora,
6a7bf2b2-ea5d-11ed-9aa9-54b20380cf4d,1.0,0.0,2.0,gcn,top,81.97932053175775,cora,
40fc68ed-ea5d-11ed-9aa9-54b20380cf4d,0.5,0.5,2.0,gcn,top,81.83161004431315,cora,
09ab2e10-ea5d-11ed-9aa9-54b20380cf4d,0.75,0.0,1.0,gat,top,78.4490398818316,cora,
d8d11176-ea5c-11ed-9aa9-54b20380cf4d,0.25,0.0,1.0,gcn,top,79.95568685376661,cora,
cd1132b9-ea5c-11ed-9aa9-54b20380cf4d,0.75,0.1,inf,gat,top,79.45347119645494,cora,
9bb90b6a-ea5c-11ed-9aa9-54b20380cf4d,0.25,0.25,2.0,gat,top,80.73855243722303,cora,
6fc6116b-ea5c-11ed-9aa9-54b20380cf4d,0.75,0.25,0.1,gat,top,80.76809453471196,cora,
6416785d-ea5c-11ed-9aa9-54b20380cf4d,0.25,0.0,inf,gcn,top,81.71344165435747,cora,
37066a7e-ea5c-11ed-9aa9-54b20380cf4d,0.25,0.1,1.0,sage,top,80.01477104874446,cora,
2da6c856-ea5c-11ed-9aa9-54b20380cf4d,0.0,0.5,inf,sage,top,81.77252584933531,cora,
012a7e98-ea5c-11ed-9aa9-54b20380cf4d,0.25,0.25,8.0,gcn,top,81.75775480059085,cora,
d2d13903-ea5b-11ed-9aa9-54b20380cf4d,0.0,0.0,0.1,sage,top,77.38552437223044,cora,
c6f00fff-ea5b-11ed-9aa9-54b20380cf4d,0.5,1.0,inf,gcn,top,81.71344165435747,cora,
9dec9475-ea5b-11ed-9aa9-54b20380cf4d,0.25,0.5,8.0,gcn,top,81.25553914327918,cora,
6fac4e1a-ea5b-11ed-9aa9-54b20380cf4d,0.25,0.25,8.0,gat,top,80.38404726735598,cora,
491f03e7-ea5b-11ed-9aa9-54b20380cf4d,0.25,0.5,1.0,sage,top,82.30428360413589,cora,
3d63f871-ea5b-11ed-9aa9-54b20380cf4d,0.0,0.1,inf,gat,top,78.67060561299851,cora,
0f15bd35-ea5b-11ed-9aa9-54b20380cf4d,0.0,0.1,8.0,sage,top,81.72821270310192,cora,
e60aa763-ea5a-11ed-9aa9-54b20380cf4d,1.0,0.25,8.0,gcn,top,81.83161004431315,cora,
dcb7a17f-ea5a-11ed-9aa9-54b20380cf4d,0.5,0.1,inf,sage,top,81.77252584933531,cora,
b29797ac-ea5a-11ed-9aa9-54b20380cf4d,0.25,0.5,8.0,gat,top,80.35450516986707,cora,
